timestamp,mass
1547100480.0,43700.0
1547100720.0,43800.0
1547101020.0,43250.0
1547101380.0,44400.0
1547101680.0,45000.0
1547102100.0,43800.0
1547102640.0,43550.0
1547103180.0,43800.0
1547103540.0,44150.0
1547103780.0,44100.0
1547104080.0,44250.0
1547105100.0,43900.0
1547106180.0,43850.0
1547106540.0,43650.0
1547106840.0,43700.0
1547107200.0,27000.0
1547107320.0,43250.0
1547107980.0,44050.0
1547108280.0,43200.0
1547108760.0,43350.0
1547109000.0,44250.0
1547109300.0,42650.0
1547109480.0,44250.0
1547109660.0,44550.0
1547110020.0,44000.0
1547110260.0,44600.0
1547110440.0,43550.0
1547110620.0,43850.0
1547110860.0,30650.0
1547111520.0,43850.0
1547111640.0,43000.0
1547111760.0,42500.0
1547112060.0,42700.0
1547112240.0,38250.0
1547112480.0,25500.0
1547112600.0,43700.0
1547112780.0,44150.0
1547112900.0,42900.0
1547113080.0,43800.0
1547113200.0,43250.0
1547113560.0,42350.0
1547113860.0,43900.0
1547113920.0,44200.0
1547114400.0,44400.0
1547114520.0,44050.0
1547115060.0,44300.0
1547115240.0,42850.0
1547115540.0,44050.0
1547115720.0,42600.0
1547115840.0,19500.0
1547116080.0,44300.0
1547116740.0,41450.0
1547117040.0,43250.0
1547117340.0,26550.0
1547117640.0,42350.0
1547118120.0,44150.0
1547118660.0,32250.0
1547118780.0,42850.0
1547118900.0,43200.0
1547119800.0,44050.0
1547120160.0,44100.0
1547120280.0,41700.0
1547121240.0,44850.0
1547121480.0,44450.0
1547121720.0,43000.0
1547121960.0,43700.0
1547122260.0,44700.0
1547122380.0,40750.0
1547122560.0,42900.0
1547122860.0,42550.0
1547123340.0,44150.0
1547123520.0,43400.0
1547123820.0,42200.0
1547124240.0,43600.0
1547124300.0,43300.0
1547124660.0,43250.0
1547125500.0,43700.0
1547125680.0,44350.0
1547125920.0,42800.0
1547126040.0,39200.0
1547126400.0,43600.0
1547126940.0,43900.0
1547127300.0,43300.0
1547127600.0,31800.0
1547128320.0,43900.0
1547128860.0,43150.0
1547129160.0,44950.0
1547129460.0,44200.0
1547129580.0,42400.0
1547130480.0,44750.0
1547130660.0,44250.0
1547130960.0,43250.0
1547131080.0,25100.0
1547131320.0,42800.0
1547131620.0,44650.0
1547131860.0,41850.0
1547132220.0,42200.0
1547132760.0,43500.0
1547133240.0,42800.0
1547133360.0,42500.0
1547133480.0,43650.0
1547133600.0,43250.0
1547133780.0,43250.0
1547134020.0,43100.0
1547134320.0,43600.0
1547134320.0,31200.0
1547134440.0,44400.0
1547134560.0,44550.0
1547135580.0,44250.0
1547135880.0,43500.0
1547136060.0,43900.0
1547137020.0,38900.0
1547137440.0,44150.0
1547137560.0,44550.0
